2025-11-15 03:34:13,255 - __main__ - INFO - Starting keyframe extraction system in supervision mode
2025-11-15 03:34:13,255 - __main__ - INFO - Using device: cuda:0
2025-11-15 03:34:13,255 - __main__ - INFO - Cache directory: .cache
2025-11-15 03:34:13,255 - __main__ - INFO - ============================================================
2025-11-15 03:34:13,255 - __main__ - INFO - STEP 1: GENERATING TEACHER SUPERVISION
2025-11-15 03:34:13,255 - __main__ - INFO - ============================================================
2025-11-15 03:34:13,255 - __main__ - INFO - Starting teacher supervision generation...
2025-11-15 03:34:13,255 - keyframe_extraction.teacher_model - INFO - Loading teacher model from /data/share/qwen/Qwen2.5-VL-7B-Instruct
2025-11-15 03:34:21,717 - keyframe_extraction.teacher_model - INFO - Teacher model loaded successfully
2025-11-15 03:34:21,884 - keyframe_extraction.frame_scoring - INFO - Loaded 31527 samples from beauty domain
2025-11-15 03:34:21,884 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 03:34:22,064 - keyframe_extraction.frame_scoring - INFO - Loaded 32824 samples from sports domain
2025-11-15 03:34:22,064 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 03:34:22,068 - keyframe_extraction.frame_scoring - INFO - Loaded total 9 videos from 2 domains
2025-11-15 03:34:22,071 - __main__ - INFO - Loaded 9 videos for supervision generation
2025-11-15 03:34:22,073 - keyframe_extraction.frame_scoring - INFO - Computing frame importance scores for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 03:34:22,092 - keyframe_extraction.video_loader - INFO - Loaded cached frames for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 03:34:22,299 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpb80potty.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 03:34:40,838 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmplt5xnypb.mp4', total_frames=17, video_fps=2.0, time=0.048s
2025-11-15 03:34:56,751 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmph_f52og9.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 03:35:09,669 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp0xb2i06o.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 03:35:25,816 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4yw1crun.mp4', total_frames=16, video_fps=2.0, time=0.037s
2025-11-15 03:35:38,770 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpzhyggbrx.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 03:35:55,053 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmplxvmkcal.mp4', total_frames=16, video_fps=2.0, time=0.051s
2025-11-15 03:36:07,902 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpt6wzggh1.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 03:36:25,173 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpli2v9wty.mp4', total_frames=16, video_fps=2.0, time=0.057s
2025-11-15 03:36:37,460 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpx70ni_q9.mp4', total_frames=17, video_fps=2.0, time=0.056s
2025-11-15 03:36:55,240 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmph_j9t8j5.mp4', total_frames=16, video_fps=2.0, time=0.055s
2025-11-15 03:37:08,112 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpiva7ykr6.mp4', total_frames=17, video_fps=2.0, time=0.040s
2025-11-15 03:37:24,332 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpdo3hb2o5.mp4', total_frames=16, video_fps=2.0, time=0.050s
