2025-11-15 04:01:20,353 - __main__ - INFO - Starting keyframe extraction system in supervision mode
2025-11-15 04:01:20,353 - __main__ - INFO - Using device: cuda:0
2025-11-15 04:01:20,353 - __main__ - INFO - Cache directory: .cache
2025-11-15 04:01:20,353 - __main__ - INFO - ============================================================
2025-11-15 04:01:20,353 - __main__ - INFO - STEP 1: GENERATING TEACHER SUPERVISION
2025-11-15 04:01:20,353 - __main__ - INFO - ============================================================
2025-11-15 04:01:20,353 - __main__ - INFO - Starting teacher supervision generation...
2025-11-15 04:01:20,353 - keyframe_extraction.teacher_model - INFO - Loading teacher model from /data/share/qwen/Qwen2.5-VL-7B-Instruct
2025-11-15 04:01:30,631 - keyframe_extraction.teacher_model - INFO - Teacher model loaded successfully
2025-11-15 04:01:30,809 - keyframe_extraction.frame_scoring - INFO - Loaded 31527 samples from beauty domain
2025-11-15 04:01:30,809 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 04:01:30,994 - keyframe_extraction.frame_scoring - INFO - Loaded 32824 samples from sports domain
2025-11-15 04:01:30,994 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 04:01:30,998 - keyframe_extraction.frame_scoring - INFO - Loaded total 9 videos from 2 domains
2025-11-15 04:01:31,002 - __main__ - INFO - Loaded 9 videos for supervision generation
2025-11-15 04:01:31,003 - keyframe_extraction.frame_scoring - INFO - Computing frame importance scores for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 04:01:31,026 - keyframe_extraction.video_loader - INFO - Loaded cached frames for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 04:01:31,244 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpyn5g9k3w.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:01:43,631 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp5ghtecp5.mp4', total_frames=17, video_fps=2.0, time=0.053s
2025-11-15 04:01:56,569 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp523f3qif.mp4', total_frames=16, video_fps=2.0, time=0.058s
2025-11-15 04:02:10,485 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp7jb6jhnj.mp4', total_frames=17, video_fps=2.0, time=0.068s
2025-11-15 04:02:23,090 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpi8lj2ykr.mp4', total_frames=16, video_fps=2.0, time=0.063s
2025-11-15 04:02:38,707 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpx8hnplg4.mp4', total_frames=17, video_fps=2.0, time=0.041s
2025-11-15 04:02:51,026 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpplsmx8_i.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:03:06,382 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpqh34amjn.mp4', total_frames=17, video_fps=2.0, time=0.067s
2025-11-15 04:03:18,761 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4ddde2lw.mp4', total_frames=16, video_fps=2.0, time=0.039s
2025-11-15 04:03:31,752 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2ihwifal.mp4', total_frames=17, video_fps=2.0, time=0.050s
2025-11-15 04:03:44,732 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpl1uuufpc.mp4', total_frames=16, video_fps=2.0, time=0.034s
2025-11-15 04:03:57,752 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp8srxprsg.mp4', total_frames=17, video_fps=2.0, time=0.036s
2025-11-15 04:04:10,697 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmppm1r07gj.mp4', total_frames=16, video_fps=2.0, time=0.040s
2025-11-15 04:04:23,735 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp77q46n85.mp4', total_frames=17, video_fps=2.0, time=0.044s
2025-11-15 04:04:36,709 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpzmu_3i80.mp4', total_frames=16, video_fps=2.0, time=0.046s
2025-11-15 04:04:49,661 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp5nuc_apa.mp4', total_frames=17, video_fps=2.0, time=0.057s
2025-11-15 04:05:02,611 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpe04nyss7.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 04:05:15,685 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpodr24iik.mp4', total_frames=17, video_fps=2.0, time=0.054s
2025-11-15 04:05:28,693 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpw0jt54vw.mp4', total_frames=16, video_fps=2.0, time=0.054s
2025-11-15 04:05:41,627 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpi8h2trln.mp4', total_frames=17, video_fps=2.0, time=0.045s
2025-11-15 04:05:54,352 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpeujdb3w8.mp4', total_frames=16, video_fps=2.0, time=0.050s
2025-11-15 04:06:07,290 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpoo0igo2s.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:06:20,304 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2q0japiw.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 04:06:33,256 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpotseur57.mp4', total_frames=17, video_fps=2.0, time=0.037s
2025-11-15 04:06:46,292 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp63h8e6ql.mp4', total_frames=16, video_fps=2.0, time=0.041s
2025-11-15 04:06:59,069 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpvi1us8fd.mp4', total_frames=17, video_fps=2.0, time=0.069s
2025-11-15 04:07:12,039 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp36808w35.mp4', total_frames=16, video_fps=2.0, time=0.039s
2025-11-15 04:07:25,045 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpl1hidxca.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:07:38,024 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpe4m4sp85.mp4', total_frames=16, video_fps=2.0, time=0.035s
2025-11-15 04:07:51,011 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpghd7s94u.mp4', total_frames=17, video_fps=2.0, time=0.031s
2025-11-15 04:08:04,040 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmprfy7sb8b.mp4', total_frames=16, video_fps=2.0, time=0.035s
2025-11-15 04:08:17,052 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2ec9r7r2.mp4', total_frames=17, video_fps=2.0, time=0.042s
2025-11-15 04:08:30,085 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpex5ybssx.mp4', total_frames=16, video_fps=2.0, time=0.040s
